/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/A Classic Education - NightOwl_150.00_158.00.wav,Split,Start,End,Duration,Words,Lyric,chunk_path,has_lyrics
A Classic Education - NightOwl,Train,73,80,7,2,oh oh,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/A Classic Education - NightOwl_73.00_80.00.wav,True
A Classic Education - NightOwl,Train,80,89,9,8,oh oh oh oh oh oh oh oh,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/A Classic Education - NightOwl_80.00_89.00.wav,True
A Classic Education - NightOwl,Train,89,99,10,3,ah ah oh,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/A Classic Education - NightOwl_89.00_99.00.wav,True
A Classic Education - NightOwl,Train,99,105,6,1,-,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/A Classic Education - NightOwl_99.00_105.00.wav,False
A Classic Education - NightOwl,Train,105,113,8,1,-,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/A Classic Education - NightOwl_105.00_113.00.wav,False
A Classic Education - NightOwl,Train,113,123,10,1,-,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/A Classic Education - NightOwl_113.00_123.00.wav,False
A Classic Education - NightOwl,Train,123,132,9,1,-,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/A Classic Education - NightOwl_123.00_132.00.wav,False
A Classic Education - NightOwl,Train,132,140,8,8,grant those stairs we see you and them,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/A Classic Education - NightOwl_132.00_140.00.wav,True
A Classic Education - NightOwl,Train,140,150,10,13,it's all lost and found burry me in the ground have no thoughts,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/A Classic Education - NightOwl_140.00_150.00.wav,True
A Classic Education - NightOwl,Train,150,158,8,6,don't you know it's all passages,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/A Classic Education - NightOwl_150.00_158.00.wav,True
A Classic Education - NightOwl,Train,158,168,10,14,places that warning fits i'll come dig and beg yeah but all come around,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/A Classic Education - NightOwl_158.00_168.00.wav,True
ANiMAL - Clinic A,Train,0,9,9,1,-,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Clinic A_0.00_9.00.wav,False
ANiMAL - Clinic A,Train,9,20,11,36,ah welcome to the gates of dante's inferno a hate lasing wait for old time eternal demons with skim endings not forgiven across their pessimism with a verse of exorcism see the souls of the righteous,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Clinic A_9.00_20.00.wav,True
ANiMAL - Clinic A,Train,20,26,6,24,march with preciseness a part is enlightened cause fear's for the frightened if my team you be liking if you we be fighting known,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Clinic A_20.00_26.00.wav,True
ANiMAL - Clinic A,Train,26,35,9,34,to be striking like the force of the vikings as i step from the darkness one split blasting one hand carrying hates head in a basket my eyes half darkened by darth vader glasses,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Clinic A_26.00_35.00.wav,True
ANiMAL - Clinic A,Train,35,42,7,29,who ever ask it tell them it's de maquis i maintain my godless take aim the fathers and all this is done in the name of the fore fathers,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Clinic A_35.00_42.00.wav,True
ANiMAL - Clinic A,Train,42,49,7,20,i made a promise to push the papers margins i march like the spartans with today's artists we take aim,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Clinic A_42.00_49.00.wav,True
ANiMAL - Clinic A,Train,49,57,8,15,and haters have to run away with their head in shame cause we're not afraid,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Clinic A_49.00_57.00.wav,True
ANiMAL - Clinic A,Train,57,67,10,26,and we've got hate grenades we are the renegades straight out of clinic a i got my nine inch free for i'm a nice inch speaker,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Clinic A_57.00_67.00.wav,True
ANiMAL - Clinic A,Train,67,74,7,28,my nine in speaker my nine inch speaker my nine grants a path for my friends to get sweeter my friends to get sweeter my friends to get,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Clinic A_67.00_74.00.wav,True
ANiMAL - Clinic A,Train,74,82,8,24,ho jurassic like old school you see me as a cave man grinding on boats cause we've built this city on rock and roll,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Clinic A_74.00_82.00.wav,True
ANiMAL - Clinic A,Train,82,93,11,48,the parkers would travel the four corners of the world just to reach her for nonish now is the case one is a teacher to jump fit states in station her pockets getting paid having bent her on the bus and while the group was getting laid but,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Clinic A_82.00_93.00.wav,True
ANiMAL - Clinic A,Train,93,104,11,36,so even niece's chin is one track keep on willing is the was we do it cigars grab me nuts ey lady shake it bit sister pede ode seed kayde ade teed lips we take aim,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Clinic A_93.00_104.00.wav,True
ANiMAL - Clinic A,Train,104,112,8,15,and haters have to run away with their head in shame cause we're not afraid,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Clinic A_104.00_112.00.wav,True
ANiMAL - Clinic A,Train,112,120,8,14,and we've got hate grenades we are the renegades straight out of clinic a,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Clinic A_112.00_120.00.wav,True
ANiMAL - Clinic A,Train,119,126,7,23,we will be heard cause we got the three voices we pick up long and it's gonna drop bombs hits stays a rocket,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Clinic A_119.00_126.00.wav,True
ANiMAL - Clinic A,Train,126,131,5,16,i stack it we pre pack it and then i smash it some get sixty rhymes,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Clinic A_126.00_131.00.wav,True
ANiMAL - Clinic A,Train,131,136,5,12,audio crime after audio crime dressing my chair and my classics the,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Clinic A_131.00_136.00.wav,True
ANiMAL - Clinic A,Train,136,145,9,24,record ends and i sleep with static i'm the master in disguise making beats and rockingly wise we take the cate line wricky lake,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Clinic A_136.00_145.00.wav,True
ANiMAL - Clinic A,Train,145,152,7,21,slap upon rhyme the original fakes i seek out blessings serly a bass i'm a parrot i take the piece and,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Clinic A_145.00_152.00.wav,True
ANiMAL - Clinic A,Train,152,159,7,18,when i split well i start to laugh eight bit sounds this shit sounds hard we take aim,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Clinic A_152.00_159.00.wav,True
ANiMAL - Clinic A,Train,159,165,6,11,and haters have to run away with their head in shame,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Clinic A_159.00_165.00.wav,True
ANiMAL - Clinic A,Train,165,175,10,18,cause we're not afraid and we've got hate grenades we are the renegades straight out of clinic a,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Clinic A_165.00_175.00.wav,True
ANiMAL - Clinic A,Train,175,181,6,1,-,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Clinic A_175.00_181.00.wav,False
ANiMAL - Clinic A,Train,181,188,7,1,-,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Clinic A_181.00_188.00.wav,False
ANiMAL - Clinic A,Train,188,195,7,5,straight out of clinic a,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Clinic A_188.00_195.00.wav,True
ANiMAL - Clinic A,Train,195,205,10,1,-,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Clinic A_195.00_205.00.wav,False
ANiMAL - Clinic A,Train,205,213,8,9,we are the renegades straight out of clinic a,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Clinic A_205.00_213.00.wav,True
ANiMAL - Clinic A,Train,213,217,4,1,-,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Clinic A_213.00_217.00.wav,False
ANiMAL - Clinic A,Train,217,223,6,1,-,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Clinic A_217.00_223.00.wav,False
ANiMAL - Clinic A,Train,223,232,9,9,we are the renegades straight out of clinic a,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Clinic A_223.00_232.00.wav,True
ANiMAL - Clinic A,Train,232,237,5,1,-,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Clinic A_232.00_237.00.wav,False
ANiMAL - Easy Tiger,Train,0,6,6,1,-,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Easy Tiger_0.00_6.00.wav,False
ANiMAL - Easy Tiger,Train,6,13,7,4,and come and come,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Easy Tiger_6.00_13.00.wav,True
ANiMAL - Easy Tiger,Train,13,22,9,3,come and come,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Easy Tiger_13.00_22.00.wav,True
ANiMAL - Easy Tiger,Train,22,27,5,9,easy tiger come sit by my rider and come,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Easy Tiger_22.00_27.00.wav,True
ANiMAL - Easy Tiger,Train,27,35,8,17,easy tiger come sit by my rider come easy tiger come sit by my rider come easy,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Easy Tiger_27.00_35.00.wav,True
ANiMAL - Easy Tiger,Train,34,42,8,15,easy tiger come sit by my rider and come backstage passes to my funky show,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Easy Tiger_34.00_42.00.wav,True
ANiMAL - Easy Tiger,Train,41,49,8,19,pump other pockets on your stereo it's getting warm and hot in club come meet me down the road,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Easy Tiger_41.00_49.00.wav,True
ANiMAL - Easy Tiger,Train,49,53,4,11,we gave out the tickets but the people won't go no,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Easy Tiger_49.00_53.00.wav,True
ANiMAL - Easy Tiger,Train,53,61,8,40,walking backstage trying to get it on i am standing bow tall five six i'm wrong put your feet behind the curtain make your self known one click and i think a smile then i am yours the hotel is,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Easy Tiger_53.00_61.00.wav,True
ANiMAL - Easy Tiger,Train,60,67,7,39,yours the hotel is not far i check it down the road if you wanna lay back chick can make you moan and we can have a little chat about the way i'm hot you remind of sexy chick,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Easy Tiger_60.00_67.00.wav,True
ANiMAL - Easy Tiger,Train,67,74,7,36,is back in amsterdam chick come back with me like its no problem i let her take control i have so much to learn as we hit it in the baden now the chicks are gone,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Easy Tiger_67.00_74.00.wav,True
ANiMAL - Easy Tiger,Train,74,84,10,50,hey lets go where did you get that time done said you're looking crisp in the morning sun while she gives me the number to her mobile phone we say goodbyes and what now she is home as we hitting on the road and heading for the next show but,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Easy Tiger_74.00_84.00.wav,True
ANiMAL - Easy Tiger,Train,84,88,4,9,easy tiger come sit by my rider and come,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Easy Tiger_84.00_88.00.wav,True
ANiMAL - Easy Tiger,Train,88,99,11,25,easy tiger come sit by my rider come easy tiger come sit by my rider come easy tiger come sit by my rider and come,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Easy Tiger_88.00_99.00.wav,True
ANiMAL - Easy Tiger,Train,98,102,4,8,and come backstage passes to my funky show,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Easy Tiger_98.00_102.00.wav,True
ANiMAL - Easy Tiger,Train,102,110,8,19,pump other pockets on your stereo it's getting warm and hot in club come with me down the road,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Easy Tiger_102.00_110.00.wav,True
ANiMAL - Easy Tiger,Train,110,114,4,11,we gave out the tickets but the people won't go no,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Easy Tiger_110.00_114.00.wav,True
ANiMAL - Easy Tiger,Train,114,119,5,23,go girl here is my backstage pass bring it back there let me tap that ass and address your class i'm ma move,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Easy Tiger_114.00_119.00.wav,True
ANiMAL - Easy Tiger,Train,119,129,10,46,too fast i'm ma dress some room champagne and two glass so come on girl don't hold it down when we up in nigga town be screaming now you are with the after party like you dreamed about its time you and me act friendish now,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Easy Tiger_119.00_129.00.wav,True
ANiMAL - Easy Tiger,Train,129,134,5,24,and we can sit and drink obscene amounts i've got a tab at the bar let's clean them out and when we drunk enough,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Easy Tiger_129.00_134.00.wav,True
ANiMAL - Easy Tiger,Train,134,145,11,47,then we bounce off to the hotel out for the counting when the morning come across the dust back on the road is the boring stuff but it can liven up if you roll with us you can sit upon my ride upon the tour bus she,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Easy Tiger_134.00_145.00.wav,True
ANiMAL - Easy Tiger,Train,170,175,5,10,i have dreams of her being obscene with me come,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Easy Tiger_170.00_175.00.wav,True
ANiMAL - Easy Tiger,Train,175,182,7,19,she was the backstage queen she was the backstage queen she didn't know what she means to me she,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Easy Tiger_175.00_182.00.wav,True
ANiMAL - Rockshow,Train,0,11,11,1,-,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Rockshow_0.00_11.00.wav,False
ANiMAL - Rockshow,Train,11,16,5,15,heading for the rock stop at the front gate cause i'm banned from the rockshow,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Rockshow_11.00_16.00.wav,True
ANiMAL - Rockshow,Train,16,21,5,16,ain't got time for the chrises at the renegade cause i am banned from the rockshow,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Rockshow_16.00_21.00.wav,True
ANiMAL - Rockshow,Train,21,26,5,15,but who can be told guitars are instinct so when you're banned from the rockshow,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Rockshow_21.00_26.00.wav,True
ANiMAL - Rockshow,Train,26,32,6,15,so take your twelve strings to the antic shop somebody please please stop the rock,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Rockshow_26.00_32.00.wav,True
ANiMAL - Rockshow,Train,43,48,5,15,heading for the rock stop at the front gate because  i'm banned from the rockshow,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Rockshow_43.00_48.00.wav,True
ANiMAL - Rockshow,Train,48,53,5,15,ain't got time for this grizzlies at this renegade cause i'm banned from the rockshow,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Rockshow_48.00_53.00.wav,True
ANiMAL - Rockshow,Train,53,58,5,16,so take your power calls and get yourself home because  i am banned from the rockshow,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Rockshow_53.00_58.00.wav,True
ANiMAL - Rockshow,Train,58,64,6,16,so take your twelve strings to the antic shop let somebody please please stop the rock,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Rockshow_58.00_64.00.wav,True
ANiMAL - Rockshow,Train,74,84,10,12,stop the rock  stop the rock  stop the rock stop the rock,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Rockshow_74.00_84.00.wav,True
ANiMAL - Rockshow,Train,84,90,6,1,-,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Rockshow_84.00_90.00.wav,False
ANiMAL - Rockshow,Train,90,95,5,1,-,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Rockshow_90.00_95.00.wav,False
ANiMAL - Rockshow,Train,95,103,8,1,-,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Rockshow_95.00_103.00.wav,False
ANiMAL - Rockshow,Train,124,128,4,14,based on fine i am looking tired cause i'm banned from the rock show,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Rockshow_124.00_128.00.wav,True
ANiMAL - Rockshow,Train,128,133,5,15,i couldn't get my groove to the radio cause i'm banned from the rock show,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Rockshow_128.00_133.00.wav,True
ANiMAL - Rockshow,Train,133,138,5,13,a fader's flash row maxed to y cause i'm banned from the rockshow,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Rockshow_133.00_138.00.wav,True
ANiMAL - Rockshow,Train,138,145,7,15,i spent too much time flying round the clock somebody please please stop the rock,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Rockshow_138.00_145.00.wav,True
ANiMAL - Rockshow,Train,145,151,6,2,wow ho,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Rockshow_145.00_151.00.wav,True
ANiMAL - Rockshow,Train,151,158,7,1,-,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Rockshow_151.00_158.00.wav,False
ANiMAL - Rockshow,Train,158,165,7,1,-,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/ANiMAL - Rockshow_158.00_165.00.wav,False
Actions - Devil's Words,Train,0,10,10,1,-,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Actions - Devil's Words_0.00_10.00.wav,False
Actions - Devil's Words,Train,10,21,11,1,-,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Actions - Devil's Words_10.00_21.00.wav,False
Actions - Devil's Words,Train,21,32,11,15,take a look around see the houses we built they are falling down around us,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Actions - Devil's Words_21.00_32.00.wav,True
Actions - Devil's Words,Train,32,38,6,11,the brace will slowly crack if we both soon show itself,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Actions - Devil's Words_32.00_38.00.wav,True
Actions - Devil's Words,Train,37,43,6,10,i wanna stuff i'm caving in stuff i'm falling down,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Actions - Devil's Words_37.00_43.00.wav,True
Actions - Devil's Words,Train,43,47,4,3,we're falling down,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Actions - Devil's Words_43.00_47.00.wav,True
Actions - Devil's Words,Train,46,53,7,10,you are the one you make me feel like this,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Actions - Devil's Words_46.00_53.00.wav,True
Actions - Devil's Words,Train,52,58,6,7,you are the one screaming you hypocrite,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Actions - Devil's Words_52.00_58.00.wav,True
Actions - Devil's Words,Train,57,63,6,10,uh a missing puzzle piece come and fill me in,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Actions - Devil's Words_57.00_63.00.wav,True
Actions - Devil's Words,Train,62,68,6,8,uh the devil's words has spoken to me,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Actions - Devil's Words_62.00_68.00.wav,True
Actions - Devil's Words,Train,67,72,5,7,the devil's words has spoken to me,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Actions - Devil's Words_67.00_72.00.wav,True
Actions - Devil's Words,Train,72,78,6,14,take your time i won't be long where the words are said to you,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Actions - Devil's Words_72.00_78.00.wav,True
Actions - Devil's Words,Train,77,82,5,14,i knew i was lying no but it would hurt to tell the truth,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Actions - Devil's Words_77.00_82.00.wav,True
Actions - Devil's Words,Train,82,87,5,7,this broken fairytale pages ripped in two,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Actions - Devil's Words_82.00_87.00.wav,True
Actions - Devil's Words,Train,87,93,6,9,i wanna stop from caving stuff from falling down,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Actions - Devil's Words_87.00_93.00.wav,True
Actions - Devil's Words,Train,92,97,5,3,we're falling down,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Actions - Devil's Words_92.00_97.00.wav,True
Actions - Devil's Words,Train,97,103,6,3,we're falling down,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Actions - Devil's Words_97.00_103.00.wav,True
Actions - Devil's Words,Train,103,109,6,10,you are the one you make me feel like this,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Actions - Devil's Words_103.00_109.00.wav,True
Actions - Devil's Words,Train,108,113,5,7,you are the one screaming you hypocrite,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Actions - Devil's Words_108.00_113.00.wav,True
Actions - Devil's Words,Train,112,118,6,9,uh missing puzzle piece come and fill me in,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Actions - Devil's Words_112.00_118.00.wav,True
Actions - Devil's Words,Train,118,123,5,8,uh the devil's words has spoken to me,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Actions - Devil's Words_118.00_123.00.wav,True
Actions - Devil's Words,Train,123,133,10,7,yeah yeah you are the one oh,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Actions - Devil's Words_123.00_133.00.wav,True
Actions - Devil's Words,Train,132,143,11,8,yeah you are the one yeah oh hey,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Actions - Devil's Words_132.00_143.00.wav,True
Actions - Devil's Words,Train,142,149,7,10,you are the one you make me feel like this,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Actions - Devil's Words_142.00_149.00.wav,True
Actions - Devil's Words,Train,148,154,6,7,you are the one screaming you hypocrite,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Actions - Devil's Words_148.00_154.00.wav,True
Actions - Devil's Words,Train,153,159,6,10,uh a missing puzzle piece come and fill me in,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Actions - Devil's Words_153.00_159.00.wav,True
Actions - Devil's Words,Train,158,164,6,8,uh the devil's words has spoken to me,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Actions - Devil's Words_158.00_164.00.wav,True
Actions - Devil's Words,Train,163,169,6,10,you are the one you make me feel like this,/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/audio_chunks/train/Actions - Devil's Words_163.00_169.00.wav,True
