Artist,Track,Genre,Source_License,Language,Include,FullName,Has_Lyrics
Meaxic,You Listen,Rock,MedleyDB,,,Meaxic - You Listen,yes
Moosmusic,Big Dummy Shake,Pop/Rock,DSD,,,Moosmusic - Big Dummy Shake,yes
Motor Tapes,Shore,Pop/Rock,DSD,,,Motor Tapes - Shore,yes
Mu,Too Bright,Pop/Rock,DSD,,,Mu - Too Bright,yes
Music Delta,80s Rock,Rock,MedleyDB,,,Music Delta - 80s Rock,yes
Music Delta,Beatles,Singer/Songwriter,MedleyDB,,,Music Delta - Beatles,yes
Music Delta,Britpop,Pop,MedleyDB,,,Music Delta - Britpop,yes
Music Delta,Country1,Country,MedleyDB,,,Music Delta - Country1,yes
Music Delta,Country2,Country,MedleyDB,,,Music Delta - Country2,yes
Music Delta,Disco,Pop,MedleyDB,,,Music Delta - Disco,yes
Music Delta,Gospel,Pop,MedleyDB,,,Music Delta - Gospel,yes
Music Delta,Grunge,Rock,MedleyDB,,,Music Delta - Grunge,yes
Music Delta,Hendrix,Rock,MedleyDB,,,Music Delta - Hendrix,yes
Music Delta,Punk,Rock,MedleyDB,,,Music Delta - Punk,yes
Music Delta,Reggae,Rock,MedleyDB,,,Music Delta - Reggae,yes
Music Delta,Rock,Rock,MedleyDB,,,Music Delta - Rock,yes
Music Delta,Rockabilly,Rock,MedleyDB,,,Music Delta - Rockabilly,yes
Nerve 9,Pray For The Rain,Pop/Rock,DSD,,,Nerve 9 - Pray For The Rain,yes
Night Panther,Fire,Pop,MedleyDB,,,Night Panther - Fire,yes
North To Alaska,All The Same,Pop/Rock,DSD,,,North To Alaska - All The Same,yes
Patrick Talbot,A Reason To Leave,Jazz,DSD,,,Patrick Talbot - A Reason To Leave,yes
Patrick Talbot,Set Free Me,Jazz,DSD,,,Patrick Talbot - Set Free Me,no
Phre The Eon,Everybody's Falling Apart,Pop/Rock,DSD,,,Phre The Eon - Everybody's Falling Apart,yes
Port St Willow,Stay Even,Singer/Songwriter,MedleyDB,,,Port St Willow - Stay Even,yes
PR,Happy Daze,Electronic,Native Instruments,,,PR - Happy Daze,yes
PR,Oh No,Electronic,Native Instruments,,,PR - Oh No,yes
Punkdisco,Oral Hygiene,Pop/Rock,DSD,,,Punkdisco - Oral Hygiene,yes
Raft Monk,Tiring,Pop/Rock,DSD,,,Raft Monk - Tiring,yes
Remember December,C U Next Time,Pop/Rock,DSD,,,Remember December - C U Next Time,yes
Sambasevam Shanmugam,Kaathaadi,Pop/Rock,DSD,,,Sambasevam Shanmugam - Kaathaadi,no
Secret Mountains,High Horse,Pop,MedleyDB,,,Secret Mountains - High Horse,yes
Secretariat,Borderline,Pop/Rock,DSD,,,Secretariat - Borderline,yes
Secretariat,Over The Top,Pop/Rock,DSD,,,Secretariat - Over The Top,yes
Side Effects Project,Sing With Me,Rap,DSD,,,Side Effects Project - Sing With Me,yes
Signe Jakobsen,What Have You Done To Me,Pop/Rock,DSD,,,Signe Jakobsen - What Have You Done To Me,yes
Skelpolu,Human Mistakes,Electronic,DSD,,,Skelpolu - Human Mistakes,yes
Skelpolu,Resurrection,Electronic,DSD,,,Skelpolu - Resurrection,yes
Skelpolu,Together Alone,Electronic,DSD,,,Skelpolu - Together Alone,yes
Snowmine,Curfews,Pop,MedleyDB,,,Snowmine - Curfews,yes
Speak Softly,Broken Man,Pop/Rock,DSD,,,Speak Softly - Broken Man,yes
Speak Softly,Like Horses,Pop/Rock,DSD,,,Speak Softly - Like Horses,yes
Spike Mullings,Mike's Sulking,Pop/Rock,DSD,,,Spike Mullings - Mike's Sulking,yes
Spike Mullings,Mike's Sulking,Rock,DSD,,,Spike Mullings - Mike's Sulking,yes
St Vitus,Word Gets Around,Pop/Rock,DSD,,,St Vitus - Word Gets Around,yes
Steven Clark,Bounty,Pop,MedleyDB,,,Steven Clark - Bounty,yes
Strand Of Oaks,Spacestation,Pop,MedleyDB,,,Strand Of Oaks - Spacestation,yes
Sweet Lights,You Let Me Down,Pop,MedleyDB,,,Sweet Lights - You Let Me Down,yes
Swinging Steaks,Lost My Way,Pop/Rock,DSD,,,Swinging Steaks - Lost My Way,yes
The Districts,Vermont,Rock,MedleyDB,,,The Districts - Vermont,yes
The Doppler Shift,Atrophy,Pop/Rock,DSD,,,The Doppler Shift - Atrophy,yes
The Easton Ellises,Falcon 69,Pop/Rock,C't Remix Comp.,,,The Easton Ellises - Falcon 69,yes
The Easton Ellises (Baumi),SDRNR,Pop/Rock,C't Remix Comp.,,,The Easton Ellises (Baumi) - SDRNR,yes
The Long Wait,Back Home To Blue,Pop/Rock,DSD,,,The Long Wait - Back Home To Blue,yes
The Long Wait,Dark Horses,Pop/Rock,DSD,,,The Long Wait - Dark Horses,yes
The Mountaineering Club,Mallory,Pop/Rock,DSD,,,The Mountaineering Club - Mallory,yes
The Scarlet Brand,Les Fleurs Du Mal,Rock,MedleyDB,,,The Scarlet Brand - Les Fleurs Du Mal,yes
The So So Glos,Emergency,Rock,MedleyDB,,,The So So Glos - Emergency,yes
The Sunshine Garcia Band,For I Am The Moon,Reggae,DSD,,,The Sunshine Garcia Band - For I Am The Moon,yes
The Wrong'Uns,Rothko,Pop/Rock,DSD,,,The Wrong'Uns - Rothko,yes
Tim Taler,Stalker,Pop/Rock,DSD,,,Tim Taler - Stalker,no
Timboz,Pony,Heavy Metal,DSD,,,Timboz - Pony,yes
Titanium,Haunted Age,Heavy Metal,DSD,,,Titanium - Haunted Age,yes
Tom McKenzie,Directions,Pop/Rock,DSD,,,Tom McKenzie - Directions,yes
Traffic Experiment,Once More (With Feeling),Pop/Rock,DSD,,,Traffic Experiment - Once More (With Feeling),yes
Traffic Experiment,Sirens,Pop/Rock,DSD,,,Traffic Experiment - Sirens,yes
Triviul,Angelsaint,Pop/Rock,DSD,,,Triviul - Angelsaint,yes
Triviul,Dorothy,Pop/Rock,DSD,,,Triviul - Dorothy,yes
Triviul feat. The Fiend,Widow,Pop/Rock,DSD,,,Triviul feat. The Fiend - Widow,yes
Voelund,Comfort Lives In Belief,Pop/Rock,DSD,,,Voelund - Comfort Lives In Belief,yes
Wall Of Death,Femme,Heavy Metal,DSD,,,Wall Of Death - Femme,yes
We Fell From The Sky,Not You,Heavy Metal,DSD,,,We Fell From The Sky - Not You,yes
Young Griffo,Blood To Bone,Heavy Metal,DSD,,,Young Griffo - Blood To Bone,yes
Young Griffo,Facade,Heavy Metal,DSD,,,Young Griffo - Facade,yes
Young Griffo,Pennies,Heavy Metal,DSD,,,Young Griffo - Pennies,yes
Zeno,Signs,Pop/Rock,DSD,,,Zeno - Signs,yes
