Song,Start,End,Duration,Lyric,Lyric_clean,Prediction,Prediction_clean,WER,CER,Words
A Classic Education - NightOwl,132.0,140.0,8.0,grant those stairs we see you and them,grant those stairs we see you and them," Grab the stills, we see you in them.",grab the stills we see you in them,0.5,0.23684210526315788,8
A Classic Education - NightOwl,140.0,150.0,10.0,its all lost and found burry me in the ground have no thoughts,its all lost and found burry me in the ground have no thoughts," It's a lost and found, Burry me in the ground, have no thar hearts.",its a lost and found burry me in the ground have no thar hearts,0.23076923076923078,0.12903225806451613,13
A Classic Education - NightOwl,150.0,158.0,8.0,dont you know its all passages,dont you know its all passages, Don't you know it's all passages?,dont you know its all passages,0.0,0.0,6
A Classic Education - NightOwl,158.0,168.0,10.0,places that warning fits ill come dig and beg yeah but all come around,places that warning fits ill come dig and beg yeah but all come around," Place that warning fits, I'll come diggin' back, yeah but I'll come around.",place that warning fits ill come diggin back yeah but ill come around,0.35714285714285715,0.11428571428571428,14
ANiMAL - Clinic A,0.0,9.0,9.0,,, you,you,1.0,3.0,1
ANiMAL - Clinic A,9.0,20.0,11.0,ah welcome to the gates of dantes inferno a hate lasing wait for old time eternal demons with skim endings not forgiven across their pessimism with a verse of exorcism see the souls of the righteous,ah welcome to the gates of dantes inferno a hate lasing wait for old time eternal demons with skim endings not forgiven across their pessimism with a verse of exorcism see the souls of the righteous," Welcome to the gates at Dante's Inferno, where hate lays in wait for all-time eternal. Demons will scheme, MDs not forgiving, I crush their pessimism with a verse of exorcism. See the souls of the righteous.",welcome to the gates at dantes inferno where hate lays in wait for alltime eternal demons will scheme mds not forgiving i crush their pessimism with a verse of exorcism see the souls of the righteous,0.3611111111111111,0.16666666666666666,36
ANiMAL - Clinic A,20.0,26.0,6.0,march with preciseness a part is enlightened cause fears for the frightened if my team you be liking if you we be fighting known,march with preciseness a part is enlightened cause fears for the frightened if my team you be liking if you we be fighting known," March with preciseness, a path to see light and cause fears for the fright If my team you be liking them, you we be fighting No-",march with preciseness a path to see light and cause fears for the fright if my team you be liking them you we be fighting no,0.3333333333333333,0.1640625,24
ANiMAL - Clinic A,26.0,35.0,9.0,to be striking like the force of the vikings as i step from the darkness one split blasting one hand carrying hates head in a basket my eyes half darkened by darth vader glasses,to be striking like the force of the vikings as i step from the darkness one split blasting one hand carrying hates head in a basket my eyes half darkened by darth vader glasses," to be striking like the force of the vikings. As I step from the darkness, one spliff blasting, one hand carrying hate's head in the basket, my eyes half darkened by Darth Vader glasses.",to be striking like the force of the vikings as i step from the darkness one spliff blasting one hand carrying hates head in the basket my eyes half darkened by darth vader glasses,0.058823529411764705,0.02824858757062147,34
ANiMAL - Clinic A,35.0,42.0,7.0,who ever ask it tell them its de maquis i maintain my godless take aim the fathers and all this is done in the name of the fore fathers,who ever ask it tell them its de maquis i maintain my godless take aim the fathers and all this is done in the name of the fore fathers," Whoever asked it, told them it's the Marquis. I maintain regardless, take him to the farthest, and all this is done in the name of the forefathers.",whoever asked it told them its the marquis i maintain regardless take him to the farthest and all this is done in the name of the forefathers,0.4482758620689655,0.15555555555555556,29
ANiMAL - Clinic A,42.0,49.0,7.0,i made a promise to push the papers margins i march like the spartans with todays artists we take aim,i made a promise to push the papers margins i march like the spartans with todays artists we take aim, I made a promise to push the paper's margins and march like the Spartans with today's eyes. We take aim!,i made a promise to push the papers margins and march like the spartans with todays eyes we take aim,0.1,0.0891089108910891,20
ANiMAL - Clinic A,49.0,57.0,8.0,and haters have to run away with their head in shame cause were not afraid,and haters have to run away with their head in shame cause were not afraid," And haters have to run away with their head in shame, cause we're not afraid.",and haters have to run away with their head in shame cause were not afraid,0.0,0.0,15
ANiMAL - Clinic A,57.0,67.0,10.0,and weve got hate grenades we are the renegades straight out of clinic a i got my nine inch free for im a nice inch speaker,and weve got hate grenades we are the renegades straight out of clinic a i got my nine inch free for im a nice inch speaker," And we've got hate grenades, we are the renegades, straight out of clinic A. I've got my 9-inch reefer and my 9-inch speaker.",and weve got hate grenades we are the renegades straight out of clinic a ive got my 9inch reefer and my 9inch speaker,0.34615384615384615,0.15447154471544716,26
ANiMAL - Clinic A,67.0,74.0,7.0,my nine in speaker my nine inch speaker my nine grants a path for my friends to get sweeter my friends to get sweeter my friends to get,my nine in speaker my nine inch speaker my nine grants a path for my friends to get sweeter my friends to get sweeter my friends to get," My nine and speaker, my nine and speaker, my nine grads are ploughing for my friends to get sweeter, my friends to get sweeter, my friends to get...",my nine and speaker my nine and speaker my nine grads are ploughing for my friends to get sweeter my friends to get sweeter my friends to get,0.17857142857142858,0.11851851851851852,28
ANiMAL - Clinic A,74.0,82.0,8.0,ho jurassic like old school you see me as a cave man grinding on boats cause weve built this city on rock and roll,ho jurassic like old school you see me as a cave man grinding on boats cause weve built this city on rock and roll, Ho! Jarretted like old school You see me as the caveman grinding on bowls Cause we built this city on rock and roll,ho jarretted like old school you see me as the caveman grinding on bowls cause we built this city on rock and roll,0.25,0.13157894736842105,24
ANiMAL - Clinic A,82.0,93.0,11.0,the parkers would travel the four corners of the world just to reach her for nonish now is the case one is a teacher to jump fit states in station her pockets getting paid having bent her on the bus and while the group was getting laid but,the parkers would travel the four corners of the world just to reach her for nonish now is the case one is a teacher to jump fit states in station her pockets getting paid having bent her on the bus and while the group was getting laid but," The pockets will travel the four corners of the world just to reach her. Phenonish now is the chaos one as a teacher. To jump the stage and stage her on the pockets getting paid, having banter on the bottom while the group is getting laid. But...",the pockets will travel the four corners of the world just to reach her phenonish now is the chaos one as a teacher to jump the stage and stage her on the pockets getting paid having banter on the bottom while the group is getting laid but,0.3541666666666667,0.17154811715481172,48
ANiMAL - Clinic A,93.0,104.0,11.0,so even nieces chin is one track keep on willing is the was we do it cigars grab me nuts ey lady shake it bit sister pede ode seed kayde ade teed lips we take aim,so even nieces chin is one track keep on willing is the was we do it cigars grab me nuts ey lady shake it bit sister pede ode seed kayde ade teed lips we take aim," So even these is tune, it's one track Kim and William just the way we do it. So guys grab me nuts and ladies shake it bitch, sister peter, older cdk, the eta t lips. We take aim!",so even these is tune its one track kim and william just the way we do it so guys grab me nuts and ladies shake it bitch sister peter older cdk the eta t lips we take aim,0.5555555555555556,0.3148148148148148,36
ANiMAL - Clinic A,104.0,112.0,8.0,and haters have to run away with their head in shame cause were not afraid,and haters have to run away with their head in shame cause were not afraid," And haters have to run away with their head in shame, cause we're not afraid.",and haters have to run away with their head in shame cause were not afraid,0.0,0.0,15
ANiMAL - Clinic A,112.0,120.0,8.0,and weve got hate grenades we are the renegades straight out of clinic a,and weve got hate grenades we are the renegades straight out of clinic a," And we've got hate grenades, we are the renegades, straight out of clinic aaaain!",and weve got hate grenades we are the renegades straight out of clinic aaaain,0.07142857142857142,0.06944444444444445,14
ANiMAL - Clinic A,119.0,126.0,7.0,we will be heard cause we got the three voices we pick up long and its gonna drop bombs hits stays a rocket,we will be heard cause we got the three voices we pick up long and its gonna drop bombs hits stays a rocket, We will be heard because we got the three voices we pick up long and he's gonna drop bombs head stakes a racket,we will be heard because we got the three voices we pick up long and hes gonna drop bombs head stakes a racket,0.21739130434782608,0.09345794392523364,23
ANiMAL - Clinic A,126.0,131.0,5.0,i stack it we pre pack it and then i smash it some get sixty rhymes,i stack it we pre pack it and then i smash it some get sixty rhymes," I stack it, we pre-pack it and then I smash it. Some get sick steel rhymes.",i stack it we prepack it and then i smash it some get sick steel rhymes,0.25,0.11940298507462686,16
ANiMAL - Clinic A,131.0,136.0,5.0,audio crime after audio crime dressing my chair and my classics the,audio crime after audio crime dressing my chair and my classics the," Audio crime after audio crime, dressing my shirt and my classics",audio crime after audio crime dressing my shirt and my classics,0.16666666666666666,0.1044776119402985,12
ANiMAL - Clinic A,136.0,145.0,9.0,record ends and i sleep with static im the master in disguise making beats and rockingly wise we take the cate line wricky lake,record ends and i sleep with static im the master in disguise making beats and rockingly wise we take the cate line wricky lake, record ends and I sleep with static I am the master in disguise making beats and rocking Levi's we take the cake like Ricky Lake,record ends and i sleep with static i am the master in disguise making beats and rocking levis we take the cake like ricky lake,0.2916666666666667,0.07874015748031496,24
ANiMAL - Clinic A,145.0,152.0,7.0,slap upon rhyme the original fakes i seek out blessings serly a bass im a parrot i take the piece and,slap upon rhyme the original fakes i seek out blessings serly a bass im a parrot i take the piece and," Sample rhymes the original, fakes I seek out, bless sincerely your best. I am a pirate, I take the piss of-",sample rhymes the original fakes i seek out bless sincerely your best i am a pirate i take the piss of,0.5714285714285714,0.31683168316831684,21
ANiMAL - Clinic A,152.0,159.0,7.0,when i split well i start to laugh eight bit sounds this shit sounds hard we take aim,when i split well i start to laugh eight bit sounds this shit sounds hard we take aim," And when I split, well I start to laugh 8 bits sounds, this shit sounds hard We take aim",and when i split well i start to laugh 8 bits sounds this shit sounds hard we take aim,0.16666666666666666,0.11764705882352941,18
ANiMAL - Clinic A,159.0,165.0,6.0,and haters have to run away with their head in shame,and haters have to run away with their head in shame, And haters have to run away with their head in shame,and haters have to run away with their head in shame,0.0,0.0,11
ANiMAL - Clinic A,165.0,175.0,10.0,cause were not afraid and weve got hate grenades we are the renegades straight out of clinic a,cause were not afraid and weve got hate grenades we are the renegades straight out of clinic a," Cause we're not afraid, and we've got hate grenades. We are the renegades, straight out of clinic aid.",cause were not afraid and weve got hate grenades we are the renegades straight out of clinic aid,0.05555555555555555,0.02127659574468085,18
ANiMAL - Clinic A,175.0,181.0,6.0,,, you,you,1.0,3.0,1
ANiMAL - Clinic A,181.0,188.0,7.0,,, you,you,1.0,3.0,1
ANiMAL - Clinic A,188.0,195.0,7.0,straight out of clinic a,straight out of clinic a, Straight out of clinic gain!,straight out of clinic gain,0.2,0.125,5
ANiMAL - Clinic A,195.0,205.0,10.0,,, you,you,1.0,3.0,1
ANiMAL - Clinic A,205.0,213.0,8.0,we are the renegades straight out of clinic a,we are the renegades straight out of clinic a, We are the renegades straight out of clinic gain.,we are the renegades straight out of clinic gain,0.1111111111111111,0.06666666666666667,9
ANiMAL - Clinic A,213.0,217.0,4.0,,,,,0.0,0.0,1
ANiMAL - Clinic A,217.0,223.0,6.0,,, you,you,1.0,3.0,1
ANiMAL - Clinic A,223.0,232.0,9.0,we are the renegades straight out of clinic a,we are the renegades straight out of clinic a, We are the renegades straight out of clinic gay.,we are the renegades straight out of clinic gay,0.1111111111111111,0.044444444444444446,9
ANiMAL - Clinic A,232.0,237.0,5.0,,,,,0.0,0.0,1
ANiMAL - Easy Tiger,0.0,6.0,6.0,,,,,0.0,0.0,1
ANiMAL - Easy Tiger,6.0,13.0,7.0,and come and come,and come and come, Come! Come!,come come,0.5,0.47058823529411764,4
ANiMAL - Easy Tiger,13.0,22.0,9.0,come and come,come and come, Come! Come! Come!,come come come,0.3333333333333333,0.3076923076923077,3
ANiMAL - Easy Tiger,22.0,27.0,5.0,easy tiger come sit by my rider and come,easy tiger come sit by my rider and come," Easy Tiger, come sit on my rider, and come!",easy tiger come sit on my rider and come,0.1111111111111111,0.05,9
ANiMAL - Easy Tiger,27.0,35.0,8.0,easy tiger come sit by my rider come easy tiger come sit by my rider come easy,easy tiger come sit by my rider come easy tiger come sit by my rider come easy," Easy tiger, come sit on my rider. Come! Easy tiger, come sit on my rider. Come! Easy.",easy tiger come sit on my rider come easy tiger come sit on my rider come easy,0.11764705882352941,0.05128205128205128,17
ANiMAL - Easy Tiger,34.0,42.0,8.0,easy tiger come sit by my rider and come backstage passes to my funky show,easy tiger come sit by my rider and come backstage passes to my funky show," Easy tiger, come sit for my rider Come, backstage passes to my funky show",easy tiger come sit for my rider come backstage passes to my funky show,0.13333333333333333,0.0945945945945946,15
ANiMAL - Easy Tiger,41.0,49.0,8.0,pump other pockets on your stereo its getting warm and hot in club come meet me down the road,pump other pockets on your stereo its getting warm and hot in club come meet me down the road, Pump up the pockets on your stereo It's getting warm and hot in club but come with me down the road,pump up the pockets on your stereo its getting warm and hot in club but come with me down the road,0.21052631578947367,0.12903225806451613,19
ANiMAL - Easy Tiger,49.0,53.0,4.0,we gave out the tickets but the people wont go no,we gave out the tickets but the people wont go no, We gave out the tickets but the people won't go,we gave out the tickets but the people wont go,0.09090909090909091,0.061224489795918366,11
ANiMAL - Easy Tiger,53.0,61.0,8.0,walking backstage trying to get it on i am standing bow tall five six im wrong put your feet behind the curtain make your self known one click and i think a smile then i am yours the hotel is,walking backstage trying to get it on i am standing bow tall five six im wrong put your feet behind the curtain make your self known one click and i think a smile then i am yours the hotel is," Walking backstage, I'm a kid in a door I'm standing wall tall, five, six, something wrong Put your feet up, hang a coat, make yourself known One click, good enough, finger smart, and I'm yours",walking backstage im a kid in a door im standing wall tall five six something wrong put your feet up hang a coat make yourself known one click good enough finger smart and im yours,0.65,0.41361256544502617,40
ANiMAL - Easy Tiger,60.0,67.0,7.0,yours the hotel is not far i check it down the road if you wanna lay back chick can make you moan and we can have a little chat about the way im hot you remind of sexy chick,yours the hotel is not far i check it down the road if you wanna lay back chick can make you moan and we can have a little chat about the way im hot you remind of sexy chick," The hotel's not far, I chicken down the road And if you wanna lay back, you can make your moan And we can have a little chat about the way I'm home You remind me sexy chick",the hotels not far i chicken down the road and if you wanna lay back you can make your moan and we can have a little chat about the way im home you remind me sexy chick,0.2564102564102564,0.15028901734104047,39
ANiMAL - Easy Tiger,67.0,74.0,7.0,is back in amsterdam chick come back with me like its no problem i let her take control i have so much to learn as we hit it in the baden now the chicks are gone,is back in amsterdam chick come back with me like its no problem i let her take control i have so much to learn as we hit it in the baden now the chicks are gone," Chicken's back in Amsterdam! Chicken come back with me like it's no problem! I'll let her take control, have some much to learn! As we're hitting the mini bar now, the drinks are gone!",chickens back in amsterdam chicken come back with me like its no problem ill let her take control have some much to learn as were hitting the mini bar now the drinks are gone,0.3333333333333333,0.19254658385093168,36
ANiMAL - Easy Tiger,74.0,84.0,10.0,hey lets go where did you get that time done said youre looking crisp in the morning sun while she gives me the number to her mobile phone we say goodbyes and what now she is home as we hitting on the road and heading for the next show but,hey lets go where did you get that time done said youre looking crisp in the morning sun while she gives me the number to her mobile phone we say goodbyes and what now she is home as we hitting on the road and heading for the next show but," Hey, looks good, what'd you get that time to do? Said you look pretty crispy in the morning sun While she gives me the number to a mobile phone We say goodbye as to what now she's home As we're hitting on the road, heading for the next show but...",hey looks good whatd you get that time to do said you look pretty crispy in the morning sun while she gives me the number to a mobile phone we say goodbye as to what now shes home as were hitting on the road heading for the next show but,0.36,0.17154811715481172,50
ANiMAL - Easy Tiger,84.0,88.0,4.0,easy tiger come sit by my rider and come,easy tiger come sit by my rider and come," Easy tiger, come sit on my rider And come, come",easy tiger come sit on my rider and come come,0.2222222222222222,0.175,9
ANiMAL - Easy Tiger,88.0,99.0,11.0,easy tiger come sit by my rider come easy tiger come sit by my rider come easy tiger come sit by my rider and come,easy tiger come sit by my rider come easy tiger come sit by my rider come easy tiger come sit by my rider and come," Easy tiger, come sit on my rider. Come! Easy tiger, come sit on my rider. Come! Easy tiger, come sit on my rider. Come back!",easy tiger come sit on my rider come easy tiger come sit on my rider come easy tiger come sit on my rider come back,0.2,0.12280701754385964,25
ANiMAL - Easy Tiger,98.0,102.0,4.0,and come backstage passes to my funky show,and come backstage passes to my funky show, Come backstage passes to my funky show,come backstage passes to my funky show,0.125,0.09523809523809523,8
ANiMAL - Easy Tiger,102.0,110.0,8.0,pump other pockets on your stereo its getting warm and hot in club come with me down the road,pump other pockets on your stereo its getting warm and hot in club come with me down the road, Pump up the pockets on your stereo It's getting warm and hot in club but come with me down the road,pump up the pockets on your stereo its getting warm and hot in club but come with me down the road,0.15789473684210525,0.08602150537634409,19
ANiMAL - Easy Tiger,110.0,114.0,4.0,we gave out the tickets but the people wont go no,we gave out the tickets but the people wont go no, We gave out the tickets but the people won't go!,we gave out the tickets but the people wont go,0.09090909090909091,0.061224489795918366,11
ANiMAL - Easy Tiger,114.0,119.0,5.0,go girl here is my backstage pass bring it back there let me tap that ass and address your class im ma move,go girl here is my backstage pass bring it back there let me tap that ass and address your class im ma move," Yo girl, here's my backstage pass. Bring it back there and let me tap that arse and address your class on my move.",yo girl heres my backstage pass bring it back there and let me tap that arse and address your class on my move,0.30434782608695654,0.11214953271028037,23
ANiMAL - Easy Tiger,119.0,129.0,10.0,too fast im ma dress some room champagne and two glass so come on girl dont hold it down when we up in nigga town be screaming now you are with the after party like you dreamed about its time you and me act friendish now,too fast im ma dress some room champagne and two glass so come on girl dont hold it down when we up in nigga town be screaming now you are with the after party like you dreamed about its time you and me act friendish now," Too fast to my dressing room champagne and too glass soul. Come on girl, don't hold it down. When we up in the town, be screaming out. You with the off the party like you dreamed about. It's time you and me act fiendish now.",too fast to my dressing room champagne and too glass soul come on girl dont hold it down when we up in the town be screaming out you with the off the party like you dreamed about its time you and me act fiendish now,0.2608695652173913,0.1318181818181818,46
ANiMAL - Easy Tiger,129.0,134.0,5.0,and we can sit and drink obscene amounts ive got a tab at the bar lets clean them out and when we drunk enough,and we can sit and drink obscene amounts ive got a tab at the bar lets clean them out and when we drunk enough," And we can sit and drink up, see in the mountains, I've got a tablet, the ball, let's clean them out, and when we drunk enough...",and we can sit and drink up see in the mountains ive got a tablet the ball lets clean them out and when we drunk enough,0.3333333333333333,0.15454545454545454,24
ANiMAL - Easy Tiger,134.0,145.0,11.0,then we bounce off to the hotel out for the counting when the morning come across the dust back on the road is the boring stuff but it can liven up if you roll with us you can sit upon my ride upon the tour bus she,then we bounce off to the hotel out for the counting when the morning come across the dust back on the road is the boring stuff but it can liven up if you roll with us you can sit upon my ride upon the tour bus she," Then we bounce off to the hotel out for the count When the morning come, I gots the dust Back on the road, it's the boring stuff But it could liven up if you roll with us You could sit on my ride upon the tour bus She-",then we bounce off to the hotel out for the count when the morning come i gots the dust back on the road its the boring stuff but it could liven up if you roll with us you could sit on my ride upon the tour bus she,0.14893617021276595,0.08411214953271028,47
ANiMAL - Easy Tiger,170.0,175.0,5.0,i have dreams of her being obscene with me come,i have dreams of her being obscene with me come, I have dreams of her being obscene with me,i have dreams of her being obscene with me,0.1,0.10638297872340426,10
ANiMAL - Easy Tiger,175.0,182.0,7.0,she was the backstage queen she was the backstage queen she didnt know what she means to me she,she was the backstage queen she was the backstage queen she didnt know what she means to me she, She was the backstage queen. She was the backstage queen. She didn't know what she means to me.,she was the backstage queen she was the backstage queen she didnt know what she means to me,0.05263157894736842,0.042105263157894736,19
ANiMAL - Rockshow,0.0,11.0,11.0,,, you,you,1.0,3.0,1
ANiMAL - Rockshow,11.0,16.0,5.0,heading for the rock stop at the front gate cause im banned from the rockshow,heading for the rock stop at the front gate cause im banned from the rockshow, Heading from the rock stop at the front gate because I'm banned from the rock show,heading from the rock stop at the front gate because im banned from the rock show,0.26666666666666666,0.06493506493506493,15
ANiMAL - Rockshow,16.0,21.0,5.0,aint got time for the chrises at the renegade cause i am banned from the rockshow,aint got time for the chrises at the renegade cause i am banned from the rockshow, Ain't got time for these creases and it's renegade Because I'm banned from the rock show,aint got time for these creases and its renegade because im banned from the rock show,0.5625,0.18518518518518517,16
ANiMAL - Rockshow,21.0,26.0,5.0,but who can be told guitars are instinct so when youre banned from the rockshow,but who can be told guitars are instinct so when youre banned from the rockshow," But who can be told, guitars are instinct and when you're banned from the rock show?",but who can be told guitars are instinct and when youre banned from the rock show,0.2,0.05063291139240506,15
ANiMAL - Rockshow,26.0,32.0,6.0,so take your twelve strings to the antic shop somebody please please stop the rock,so take your twelve strings to the antic shop somebody please please stop the rock, To take its world strings to the antics shop. Now somebody please please stop the rock!,to take its world strings to the antics shop now somebody please please stop the rock,0.3333333333333333,0.18292682926829268,15
ANiMAL - Rockshow,43.0,48.0,5.0,heading for the rock stop at the front gate because  im banned from the rockshow,heading for the rock stop at the front gate because  im banned from the rockshow," Headin' for the rockstar bathroom, cause I'm bad from the rock show",headin for the rockstar bathroom cause im bad from the rock show,0.7333333333333333,0.3,15
ANiMAL - Rockshow,48.0,53.0,5.0,aint got time for this grizzlies at this renegade cause im banned from the rockshow,aint got time for this grizzlies at this renegade cause im banned from the rockshow," Ain't got time for these greases and it's Renny Gain, it's a bad from the rock show",aint got time for these greases and its renny gain its a bad from the rock show,0.7333333333333333,0.3253012048192771,15
ANiMAL - Rockshow,53.0,58.0,5.0,so take your power calls and get yourself home because  i am banned from the rockshow,so take your power calls and get yourself home because  i am banned from the rockshow, So take your power calls and get yourself home because I'm bad from the rock show,so take your power calls and get yourself home because im bad from the rock show,0.3125,0.08235294117647059,16
ANiMAL - Rockshow,58.0,64.0,6.0,so take your twelve strings to the antic shop let somebody please please stop the rock,so take your twelve strings to the antic shop let somebody please please stop the rock, To take you 12 streets to the attic shop Let's song buddy please please stop the rock,to take you 12 streets to the attic shop lets song buddy please please stop the rock,0.5,0.20930232558139536,16
ANiMAL - Rockshow,74.0,84.0,10.0,stop the rock  stop the rock  stop the rock stop the rock,stop the rock  stop the rock  stop the rock stop the rock, Stop the Rock!,stop the rock,0.75,0.7719298245614035,12
ANiMAL - Rockshow,84.0,90.0,6.0,,,,,0.0,0.0,1
ANiMAL - Rockshow,90.0,95.0,5.0,,,,,0.0,0.0,1
ANiMAL - Rockshow,95.0,103.0,8.0,,,,,0.0,0.0,1
ANiMAL - Rockshow,124.0,128.0,4.0,based on fine i am looking tired cause im banned from the rock show,based on fine i am looking tired cause im banned from the rock show," Space time's fine, I'm locking time, cause I'm back from the rock show!",space times fine im locking time cause im back from the rock show,0.5,0.26865671641791045,14
ANiMAL - Rockshow,128.0,133.0,5.0,i couldnt get my groove to the radio cause im banned from the rock show,i couldnt get my groove to the radio cause im banned from the rock show," I couldn't get my groove to the radio, cause I'm buying from the rock show",i couldnt get my groove to the radio cause im buying from the rock show,0.06666666666666667,0.07042253521126761,15
ANiMAL - Rockshow,133.0,138.0,5.0,a faders flash row maxed to y cause im banned from the rockshow,a faders flash row maxed to y cause im banned from the rockshow," A fader's fly from X to Y, gives him back from the rock show",a faders fly from x to y gives him back from the rock show,0.6153846153846154,0.31746031746031744,13
ANiMAL - Rockshow,138.0,145.0,7.0,i spent too much time flying round the clock somebody please please stop the rock,i spent too much time flying round the clock somebody please please stop the rock, Spread too much time flying round the clock Somebody please please stop the rock,spread too much time flying round the clock somebody please please stop the rock,0.13333333333333333,0.06172839506172839,15
ANiMAL - Rockshow,145.0,151.0,6.0,wow ho,wow ho, Woo! Woo!,woo woo,1.0,0.5,2
ANiMAL - Rockshow,151.0,158.0,7.0,,," Yeah, brother. That's it.",yeah brother thats it,4.0,21.0,1
ANiMAL - Rockshow,158.0,165.0,7.0,,, The rock has stopped. Yeah. Cool.,the rock has stopped yeah cool,6.0,30.0,1
Actions - Devil's Words,0.0,10.0,10.0,,, you,you,1.0,3.0,1
Actions - Devil's Words,10.0,21.0,11.0,,, you,you,1.0,3.0,1
Actions - Devil's Words,21.0,32.0,11.0,take a look around see the houses we built they are falling down around us,take a look around see the houses we built they are falling down around us," Take a look around, see the houses we build, they are falling down around us.",take a look around see the houses we build they are falling down around us,0.06666666666666667,0.013513513513513514,15
Actions - Devil's Words,32.0,38.0,6.0,the brace will slowly crack if we both soon show itself,the brace will slowly crack if we both soon show itself," The brakes will slowly crack, and fate will soon show itself.",the brakes will slowly crack and fate will soon show itself,0.36363636363636365,0.21818181818181817,11
Actions - Devil's Words,37.0,43.0,6.0,i wanna stuff im caving in stuff im falling down,i wanna stuff im caving in stuff im falling down, I want to stop from caving and stop from falling down,i want to stop from caving and stop from falling down,0.7,0.3333333333333333,10
Actions - Devil's Words,43.0,47.0,4.0,were falling down,were falling down, We fall it down,we fall it down,1.0,0.29411764705882354,3
Actions - Devil's Words,46.0,53.0,7.0,you are the one you make me feel like this,you are the one you make me feel like this, You are the one you make me feel like this.,you are the one you make me feel like this,0.0,0.0,10
Actions - Devil's Words,52.0,58.0,6.0,you are the one screaming you hypocrite,you are the one screaming you hypocrite, You are the one screaming you hypocrite,you are the one screaming you hypocrite,0.0,0.0,7
Actions - Devil's Words,57.0,63.0,6.0,uh a missing puzzle piece come and fill me in,uh a missing puzzle piece come and fill me in," Missing puzzle piece, come and fill me in",missing puzzle piece come and fill me in,0.2,0.1111111111111111,10
Actions - Devil's Words,62.0,68.0,6.0,uh the devils words has spoken to me,uh the devils words has spoken to me, The devil's words have spoken to me,the devils words have spoken to me,0.25,0.1388888888888889,8
Actions - Devil's Words,67.0,72.0,5.0,the devils words has spoken to me,the devils words has spoken to me, The devil's words have spoken to me.,the devils words have spoken to me,0.14285714285714285,0.06060606060606061,7
Actions - Devil's Words,72.0,78.0,6.0,take your time i wont be long where the words are said to you,take your time i wont be long where the words are said to you," Take your time, I won't be long What words I said to you",take your time i wont be long what words i said to you,0.21428571428571427,0.14754098360655737,14
Actions - Devil's Words,77.0,82.0,5.0,i knew i was lying no but it would hurt to tell the truth,i knew i was lying no but it would hurt to tell the truth," I knew I was lying, you know, but it would hurt to tell the truth",i knew i was lying you know but it would hurt to tell the truth,0.14285714285714285,0.10526315789473684,14
Actions - Devil's Words,82.0,87.0,5.0,this broken fairytale pages ripped in two,this broken fairytale pages ripped in two, This broken fairytale page has ripped it all,this broken fairytale page has ripped it all,0.5714285714285714,0.17073170731707318,7
Actions - Devil's Words,87.0,93.0,6.0,i wanna stop from caving stuff from falling down,i wanna stop from caving stuff from falling down, I wanna stop from cave and stop from falling down We're f-,i wanna stop from cave and stop from falling down were f,0.5555555555555556,0.2916666666666667,9
Actions - Devil's Words,92.0,97.0,5.0,were falling down,were falling down, We're falling down,were falling down,0.0,0.0,3
Actions - Devil's Words,97.0,103.0,6.0,were falling down,were falling down, We're falling down,were falling down,0.0,0.0,3
