Artist,Track,Genre,Source_License,Language,Include,FullName,Has_Lyrics
Remember December,C U Next Time,Pop/Rock,DSD,,,Remember December - C U Next Time,yes
Secret Mountains,High Horse,Pop,MedleyDB,,,Secret Mountains - High Horse,yes
Skelpolu,Human Mistakes,Electronic,DSD,,,Skelpolu - Human Mistakes,yes
Skelpolu,Together Alone,Electronic,DSD,,,Skelpolu - Together Alone,yes
Snowmine,Curfews,Pop,MedleyDB,,,Snowmine - Curfews,yes
Spike Mullings,Mike's Sulking,Pop/Rock,DSD,,,Spike Mullings - Mike's Sulking,yes
Spike Mullings,Mike's Sulking,Rock,DSD,,,Spike Mullings - Mike's Sulking,yes
St Vitus,Word Gets Around,Pop/Rock,DSD,,,St Vitus - Word Gets Around,yes
Steven Clark,Bounty,Pop,MedleyDB,,,Steven Clark - Bounty,yes
Strand Of Oaks,Spacestation,Pop,MedleyDB,,,Strand Of Oaks - Spacestation,yes
Sweet Lights,You Let Me Down,Pop,MedleyDB,,,Sweet Lights - You Let Me Down,yes
Swinging Steaks,Lost My Way,Pop/Rock,DSD,,,Swinging Steaks - Lost My Way,yes
The Districts,Vermont,Rock,MedleyDB,,,The Districts - Vermont,yes
The Long Wait,Back Home To Blue,Pop/Rock,DSD,,,The Long Wait - Back Home To Blue,yes
The Scarlet Brand,Les Fleurs Du Mal,Rock,MedleyDB,,,The Scarlet Brand - Les Fleurs Du Mal,yes
The So So Glos,Emergency,Rock,MedleyDB,,,The So So Glos - Emergency,yes
The Wrong'Uns,Rothko,Pop/Rock,DSD,,,The Wrong'Uns - Rothko,yes
Titanium,Haunted Age,Heavy Metal,DSD,,,Titanium - Haunted Age,yes
Traffic Experiment,Once More (With Feeling),Pop/Rock,DSD,,,Traffic Experiment - Once More (With Feeling),yes
Traffic Experiment,Sirens,Pop/Rock,DSD,,,Traffic Experiment - Sirens,yes
Triviul,Angelsaint,Pop/Rock,DSD,,,Triviul - Angelsaint,yes
Triviul,Dorothy,Pop/Rock,DSD,,,Triviul - Dorothy,yes
Voelund,Comfort Lives In Belief,Pop/Rock,DSD,,,Voelund - Comfort Lives In Belief,yes
Wall Of Death,Femme,Heavy Metal,DSD,,,Wall Of Death - Femme,yes
Young Griffo,Blood To Bone,Heavy Metal,DSD,,,Young Griffo - Blood To Bone,yes
Young Griffo,Facade,Heavy Metal,DSD,,,Young Griffo - Facade,yes
Young Griffo,Pennies,Heavy Metal,DSD,,,Young Griffo - Pennies,yes
