Artist,Track,Genre,Source_License,Language,Include
James May,Dont Let Go,Pop/Rock,DSD,,
James May,If You Say,Pop/Rock,DSD,,
James May,On The Line,Pop/Rock,DSD,,
Jay Menon,Through My Eyes,Pop/Rock,DSD,,
Johnny Lokke,Promises & Lies,Pop/Rock,DSD,,
Johnny Lokke,Whisper To A Scream,Pop/Rock,DSD,,
Jokers Jacks & Kings,Sea Of Leaves,Pop/Rock,DSD,,
Juliet's Rescue,Heartbeats,Pop/Rock,DSD,,
Leaf,Come Around,Pop/Rock,DSD,,
Leaf,Summerghost,Pop/Rock,DSD,,
Leaf,Wicked,Pop/Rock,DSD,,
Little Chicago's Finest,My Own,Rap,DSD,,
Louis Cressy Band,Good Time,Pop/Rock,DSD,,
Lushlife,Toynbee Suite,Rap,MedleyDB,,
Lyndsey Ollard,Catching Up,Pop/Rock,DSD,,
M.E.R.C. Music,Knockout,Rap,DSD,,
Matthew Entwistle,Dont You Ever,Jazz,MedleyDB,,
Meaxic,Take A Step,Rock,MedleyDB,,
Meaxic,You Listen,Rock,MedleyDB,,
Moosmusic,Big Dummy Shake,Pop/Rock,DSD,,
Motor Tapes,Shore,Pop/Rock,DSD,,
Mu,Too Bright,Pop/Rock,DSD,,
Music Delta,80s Rock,Rock,MedleyDB,,
Music Delta,Beatles,Singer/Songwriter,MedleyDB,,
Music Delta,Britpop,Pop,MedleyDB,,
Music Delta,Country1,Country,MedleyDB,,
Music Delta,Country2,Country,MedleyDB,,
Music Delta,Disco,Pop,MedleyDB,,
Music Delta,Gospel,Pop,MedleyDB,,
Music Delta,Grunge,Rock,MedleyDB,,
Music Delta,Hendrix,Rock,MedleyDB,,
Music Delta,Punk,Rock,MedleyDB,,
Music Delta,Reggae,Rock,MedleyDB,,
Music Delta,Rock,Rock,MedleyDB,,
Music Delta,Rockabilly,Rock,MedleyDB,,
Nerve 9,Pray For The Rain,Pop/Rock,DSD,,
Night Panther,Fire,Pop,MedleyDB,,
North To Alaska,All The Same,Pop/Rock,DSD,,
Patrick Talbot,A Reason To Leave,Jazz,DSD,,
Patrick Talbot,Set Free Me,Jazz,DSD,,
Phre The Eon,Everybody's Falling Apart,Pop/Rock,DSD,,
Port St Willow,Stay Even,Singer/Songwriter,MedleyDB,,
PR,Happy Daze,Electronic,Native Instruments,,
PR,Oh No,Electronic,Native Instruments,,
Punkdisco,Oral Hygiene,Pop/Rock,DSD,,
Raft Monk,Tiring,Pop/Rock,DSD,,
Remember December,C U Next Time,Pop/Rock,DSD,,
Sambasevam Shanmugam,Kaathaadi,Pop/Rock,DSD,,
Secret Mountains,High Horse,Pop,MedleyDB,,
Secretariat,Borderline,Pop/Rock,DSD,,
Secretariat,Over The Top,Pop/Rock,DSD,,
Side Effects Project,Sing With Me,Rap,DSD,,
Signe Jakobsen,What Have You Done To Me,Pop/Rock,DSD,,
Skelpolu,Human Mistakes,Electronic,DSD,,
Skelpolu,Resurrection,Electronic,DSD,,
Skelpolu,Together Alone,Electronic,DSD,,
Snowmine,Curfews,Pop,MedleyDB,,
Speak Softly,Broken Man,Pop/Rock,DSD,,
Speak Softly,Like Horses,Pop/Rock,DSD,,
Spike Mullings,Mike's Sulking,Pop/Rock,DSD,,
Spike Mullings,Mike's Sulking,Rock,DSD,,
St Vitus,Word Gets Around,Pop/Rock,DSD,,
Steven Clark,Bounty,Pop,MedleyDB,,
Strand Of Oaks,Spacestation,Pop,MedleyDB,,
Sweet Lights,You Let Me Down,Pop,MedleyDB,,
Swinging Steaks,Lost My Way,Pop/Rock,DSD,,
The Districts,Vermont,Rock,MedleyDB,,
The Doppler Shift,Atrophy,Pop/Rock,DSD,,
The Easton Ellises,Falcon 69,Pop/Rock,C't Remix Comp.,,
The Easton Ellises (Baumi),SDRNR,Pop/Rock,C't Remix Comp.,,
The Long Wait,Back Home To Blue,Pop/Rock,DSD,,
The Long Wait,Dark Horses,Pop/Rock,DSD,,
The Mountaineering Club,Mallory,Pop/Rock,DSD,,
The Scarlet Brand,Les Fleurs Du Mal,Rock,MedleyDB,,
The So So Glos,Emergency,Rock,MedleyDB,,
The Sunshine Garcia Band,For I Am The Moon,Reggae,DSD,,
The Wrong'Uns,Rothko,Pop/Rock,DSD,,
Tim Taler,Stalker,Pop/Rock,DSD,,
Timboz,Pony,Heavy Metal,DSD,,
Titanium,Haunted Age,Heavy Metal,DSD,,
Tom McKenzie,Directions,Pop/Rock,DSD,,
Traffic Experiment,Once More (With Feeling),Pop/Rock,DSD,,
Traffic Experiment,Sirens,Pop/Rock,DSD,,
Triviul,Angelsaint,Pop/Rock,DSD,,
Triviul,Dorothy,Pop/Rock,DSD,,
Triviul feat. The Fiend,Widow,Pop/Rock,DSD,,
Voelund,Comfort Lives In Belief,Pop/Rock,DSD,,
Wall Of Death,Femme,Heavy Metal,DSD,,
We Fell From The Sky,Not You,Heavy Metal,DSD,,
Young Griffo,Blood To Bone,Heavy Metal,DSD,,
Young Griffo,Facade,Heavy Metal,DSD,,
Young Griffo,Pennies,Heavy Metal,DSD,,
Zeno,Signs,Pop/Rock,DSD,,
