Song,Split,Start,End,Duration,Words,Lyric,chunk_path,has_lyrics,mixture_chunk_path,drums_chunk_path,bass_chunk_path,other_chunk_path,vocals_chunk_path
A Classic Education - NightOwl,Train,73.0,80.0,7.0,2,oh oh,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/audio_chunks/A Classic Education - NightOwl_73.00_80.00.wav,True,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/mixture/A Classic Education - NightOwl_73_80.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/drums/A Classic Education - NightOwl_73_80.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/bass/A Classic Education - NightOwl_73_80.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/other/A Classic Education - NightOwl_73_80.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/vocals/A Classic Education - NightOwl_73_80.wav
A Classic Education - NightOwl,Train,80.0,89.0,9.0,8,oh oh oh oh oh oh oh oh,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/audio_chunks/A Classic Education - NightOwl_80.00_89.00.wav,True,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/mixture/A Classic Education - NightOwl_80_89.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/drums/A Classic Education - NightOwl_80_89.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/bass/A Classic Education - NightOwl_80_89.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/other/A Classic Education - NightOwl_80_89.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/vocals/A Classic Education - NightOwl_80_89.wav
A Classic Education - NightOwl,Train,89.0,99.0,10.0,3,ah ah oh,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/audio_chunks/A Classic Education - NightOwl_89.00_99.00.wav,True,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/mixture/A Classic Education - NightOwl_89_99.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/drums/A Classic Education - NightOwl_89_99.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/bass/A Classic Education - NightOwl_89_99.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/other/A Classic Education - NightOwl_89_99.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/vocals/A Classic Education - NightOwl_89_99.wav
A Classic Education - NightOwl,Train,99.0,105.0,6.0,1,-,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/audio_chunks/A Classic Education - NightOwl_99.00_105.00.wav,False,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/mixture/A Classic Education - NightOwl_99_105.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/drums/A Classic Education - NightOwl_99_105.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/bass/A Classic Education - NightOwl_99_105.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/other/A Classic Education - NightOwl_99_105.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/vocals/A Classic Education - NightOwl_99_105.wav
A Classic Education - NightOwl,Train,105.0,113.0,8.0,1,-,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/audio_chunks/A Classic Education - NightOwl_105.00_113.00.wav,False,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/mixture/A Classic Education - NightOwl_105_113.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/drums/A Classic Education - NightOwl_105_113.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/bass/A Classic Education - NightOwl_105_113.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/other/A Classic Education - NightOwl_105_113.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/vocals/A Classic Education - NightOwl_105_113.wav
A Classic Education - NightOwl,Train,113.0,123.0,10.0,1,-,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/audio_chunks/A Classic Education - NightOwl_113.00_123.00.wav,False,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/mixture/A Classic Education - NightOwl_113_123.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/drums/A Classic Education - NightOwl_113_123.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/bass/A Classic Education - NightOwl_113_123.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/other/A Classic Education - NightOwl_113_123.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/vocals/A Classic Education - NightOwl_113_123.wav
A Classic Education - NightOwl,Train,123.0,132.0,9.0,1,-,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/audio_chunks/A Classic Education - NightOwl_123.00_132.00.wav,False,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/mixture/A Classic Education - NightOwl_123_132.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/drums/A Classic Education - NightOwl_123_132.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/bass/A Classic Education - NightOwl_123_132.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/other/A Classic Education - NightOwl_123_132.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/vocals/A Classic Education - NightOwl_123_132.wav
A Classic Education - NightOwl,Train,132.0,140.0,8.0,8,grant those stairs we see you and them,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/audio_chunks/A Classic Education - NightOwl_132.00_140.00.wav,True,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/mixture/A Classic Education - NightOwl_132_140.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/drums/A Classic Education - NightOwl_132_140.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/bass/A Classic Education - NightOwl_132_140.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/other/A Classic Education - NightOwl_132_140.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/vocals/A Classic Education - NightOwl_132_140.wav
A Classic Education - NightOwl,Train,140.0,150.0,10.0,13,it's all lost and found burry me in the ground have no thoughts,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/audio_chunks/A Classic Education - NightOwl_140.00_150.00.wav,True,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/mixture/A Classic Education - NightOwl_140_150.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/drums/A Classic Education - NightOwl_140_150.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/bass/A Classic Education - NightOwl_140_150.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/other/A Classic Education - NightOwl_140_150.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/vocals/A Classic Education - NightOwl_140_150.wav
A Classic Education - NightOwl,Train,150.0,158.0,8.0,6,don't you know it's all passages,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/audio_chunks/A Classic Education - NightOwl_150.00_158.00.wav,True,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/mixture/A Classic Education - NightOwl_150_158.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/drums/A Classic Education - NightOwl_150_158.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/bass/A Classic Education - NightOwl_150_158.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/other/A Classic Education - NightOwl_150_158.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/vocals/A Classic Education - NightOwl_150_158.wav
A Classic Education - NightOwl,Train,158.0,168.0,10.0,14,places that warning fits i'll come dig and beg yeah but all come around,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/audio_chunks/A Classic Education - NightOwl_158.00_168.00.wav,True,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/mixture/A Classic Education - NightOwl_158_168.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/drums/A Classic Education - NightOwl_158_168.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/bass/A Classic Education - NightOwl_158_168.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/other/A Classic Education - NightOwl_158_168.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/vocals/A Classic Education - NightOwl_158_168.wav
ANiMAL - Clinic A,Train,0.0,9.0,9.0,1,-,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/audio_chunks/ANiMAL - Clinic A_0.00_9.00.wav,False,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/mixture/ANiMAL - Clinic A_0_9.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/drums/ANiMAL - Clinic A_0_9.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/bass/ANiMAL - Clinic A_0_9.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/other/ANiMAL - Clinic A_0_9.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/vocals/ANiMAL - Clinic A_0_9.wav
ANiMAL - Clinic A,Train,9.0,20.0,11.0,36,ah welcome to the gates of dante's inferno a hate lasing wait for old time eternal demons with skim endings not forgiven across their pessimism with a verse of exorcism see the souls of the righteous,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/audio_chunks/ANiMAL - Clinic A_9.00_20.00.wav,True,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/mixture/ANiMAL - Clinic A_9_20.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/drums/ANiMAL - Clinic A_9_20.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/bass/ANiMAL - Clinic A_9_20.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/other/ANiMAL - Clinic A_9_20.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/vocals/ANiMAL - Clinic A_9_20.wav
ANiMAL - Clinic A,Train,20.0,26.0,6.0,24,march with preciseness a part is enlightened cause fear's for the frightened if my team you be liking if you we be fighting known,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/audio_chunks/ANiMAL - Clinic A_20.00_26.00.wav,True,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/mixture/ANiMAL - Clinic A_20_26.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/drums/ANiMAL - Clinic A_20_26.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/bass/ANiMAL - Clinic A_20_26.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/other/ANiMAL - Clinic A_20_26.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/vocals/ANiMAL - Clinic A_20_26.wav
ANiMAL - Clinic A,Train,26.0,35.0,9.0,34,to be striking like the force of the vikings as i step from the darkness one split blasting one hand carrying hates head in a basket my eyes half darkened by darth vader glasses,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/audio_chunks/ANiMAL - Clinic A_26.00_35.00.wav,True,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/mixture/ANiMAL - Clinic A_26_35.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/drums/ANiMAL - Clinic A_26_35.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/bass/ANiMAL - Clinic A_26_35.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/other/ANiMAL - Clinic A_26_35.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/vocals/ANiMAL - Clinic A_26_35.wav
ANiMAL - Clinic A,Train,35.0,42.0,7.0,29,who ever ask it tell them it's de maquis i maintain my godless take aim the fathers and all this is done in the name of the fore fathers,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/audio_chunks/ANiMAL - Clinic A_35.00_42.00.wav,True,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/mixture/ANiMAL - Clinic A_35_42.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/drums/ANiMAL - Clinic A_35_42.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/bass/ANiMAL - Clinic A_35_42.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/other/ANiMAL - Clinic A_35_42.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/vocals/ANiMAL - Clinic A_35_42.wav
ANiMAL - Clinic A,Train,42.0,49.0,7.0,20,i made a promise to push the papers margins i march like the spartans with today's artists we take aim,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/audio_chunks/ANiMAL - Clinic A_42.00_49.00.wav,True,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/mixture/ANiMAL - Clinic A_42_49.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/drums/ANiMAL - Clinic A_42_49.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/bass/ANiMAL - Clinic A_42_49.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/other/ANiMAL - Clinic A_42_49.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/vocals/ANiMAL - Clinic A_42_49.wav
ANiMAL - Clinic A,Train,49.0,57.0,8.0,15,and haters have to run away with their head in shame cause we're not afraid,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/audio_chunks/ANiMAL - Clinic A_49.00_57.00.wav,True,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/mixture/ANiMAL - Clinic A_49_57.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/drums/ANiMAL - Clinic A_49_57.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/bass/ANiMAL - Clinic A_49_57.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/other/ANiMAL - Clinic A_49_57.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/vocals/ANiMAL - Clinic A_49_57.wav
ANiMAL - Clinic A,Train,57.0,67.0,10.0,26,and we've got hate grenades we are the renegades straight out of clinic a i got my nine inch free for i'm a nice inch speaker,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/audio_chunks/ANiMAL - Clinic A_57.00_67.00.wav,True,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/mixture/ANiMAL - Clinic A_57_67.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/drums/ANiMAL - Clinic A_57_67.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/bass/ANiMAL - Clinic A_57_67.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/other/ANiMAL - Clinic A_57_67.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/vocals/ANiMAL - Clinic A_57_67.wav
ANiMAL - Clinic A,Train,67.0,74.0,7.0,28,my nine in speaker my nine inch speaker my nine grants a path for my friends to get sweeter my friends to get sweeter my friends to get,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/audio_chunks/ANiMAL - Clinic A_67.00_74.00.wav,True,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/mixture/ANiMAL - Clinic A_67_74.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/drums/ANiMAL - Clinic A_67_74.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/bass/ANiMAL - Clinic A_67_74.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/other/ANiMAL - Clinic A_67_74.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/vocals/ANiMAL - Clinic A_67_74.wav
ANiMAL - Clinic A,Train,74.0,82.0,8.0,24,ho jurassic like old school you see me as a cave man grinding on boats cause we've built this city on rock and roll,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/audio_chunks/ANiMAL - Clinic A_74.00_82.00.wav,True,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/mixture/ANiMAL - Clinic A_74_82.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/drums/ANiMAL - Clinic A_74_82.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/bass/ANiMAL - Clinic A_74_82.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/other/ANiMAL - Clinic A_74_82.wav,/content/drive/MyDrive/DS_course/Deep_Learning/Final Project/musdb18/train_chunks/vocals/ANiMAL - Clinic A_74_82.wav
