chunk_path,Song,Start,End,Lyric,has_lyrics,augmented_from
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Clinic A_104_112.wav,ANiMAL - Clinic A,104,112,and haters have to run away with their head in shame cause we're not afraid,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Clinic A_112_120.wav,ANiMAL - Clinic A,112,120,and we've got hate grenades we are the renegades straight out of clinic a,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Clinic A_119_126.wav,ANiMAL - Clinic A,119,126,we will be heard cause we got the three voices we pick up long and it's gonna drop bombs hits stays a rocket,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Clinic A_126_131.wav,ANiMAL - Clinic A,126,131,i stack it we pre pack it and then i smash it some get sixty rhymes,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Clinic A_131_136.wav,ANiMAL - Clinic A,131,136,audio crime after audio crime dressing my chair and my classics the,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Clinic A_136_145.wav,ANiMAL - Clinic A,136,145,record ends and i sleep with static i'm the master in disguise making beats and rockingly wise we take the cate line wricky lake,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Clinic A_145_152.wav,ANiMAL - Clinic A,145,152,slap upon rhyme the original fakes i seek out blessings serly a bass i'm a parrot i take the piece and,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Clinic A_152_159.wav,ANiMAL - Clinic A,152,159,when i split well i start to laugh eight bit sounds this shit sounds hard we take aim,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Clinic A_159_165.wav,ANiMAL - Clinic A,159,165,and haters have to run away with their head in shame,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Clinic A_165_175.wav,ANiMAL - Clinic A,165,175,cause we're not afraid and we've got hate grenades we are the renegades straight out of clinic a,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Clinic A_188_195.wav,ANiMAL - Clinic A,188,195,straight out of clinic a,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Clinic A_205_213.wav,ANiMAL - Clinic A,205,213,we are the renegades straight out of clinic a,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Clinic A_223_232.wav,ANiMAL - Clinic A,223,232,we are the renegades straight out of clinic a,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Easy Tiger_6_13.wav,ANiMAL - Easy Tiger,6,13,and come and come,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Easy Tiger_13_22.wav,ANiMAL - Easy Tiger,13,22,come and come,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Easy Tiger_22_27.wav,ANiMAL - Easy Tiger,22,27,easy tiger come sit by my rider and come,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Easy Tiger_27_35.wav,ANiMAL - Easy Tiger,27,35,easy tiger come sit by my rider come easy tiger come sit by my rider come easy,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Easy Tiger_34_42.wav,ANiMAL - Easy Tiger,34,42,easy tiger come sit by my rider and come backstage passes to my funky show,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Easy Tiger_41_49.wav,ANiMAL - Easy Tiger,41,49,pump other pockets on your stereo it's getting warm and hot in club come meet me down the road,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Easy Tiger_49_53.wav,ANiMAL - Easy Tiger,49,53,we gave out the tickets but the people won't go no,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Easy Tiger_53_61.wav,ANiMAL - Easy Tiger,53,61,walking backstage trying to get it on i am standing bow tall five six i'm wrong put your feet behind the curtain make your self known one click and i think a smile then i am yours the hotel is,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Easy Tiger_60_67.wav,ANiMAL - Easy Tiger,60,67,yours the hotel is not far i check it down the road if you wanna lay back chick can make you moan and we can have a little chat about the way i'm hot you remind of sexy chick,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Easy Tiger_67_74.wav,ANiMAL - Easy Tiger,67,74,is back in amsterdam chick come back with me like its no problem i let her take control i have so much to learn as we hit it in the baden now the chicks are gone,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Easy Tiger_74_84.wav,ANiMAL - Easy Tiger,74,84,hey lets go where did you get that time done said you're looking crisp in the morning sun while she gives me the number to her mobile phone we say goodbyes and what now she is home as we hitting on the road and heading for the next show but,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Easy Tiger_84_88.wav,ANiMAL - Easy Tiger,84,88,easy tiger come sit by my rider and come,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Easy Tiger_88_99.wav,ANiMAL - Easy Tiger,88,99,easy tiger come sit by my rider come easy tiger come sit by my rider come easy tiger come sit by my rider and come,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Easy Tiger_98_102.wav,ANiMAL - Easy Tiger,98,102,and come backstage passes to my funky show,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Easy Tiger_102_110.wav,ANiMAL - Easy Tiger,102,110,pump other pockets on your stereo it's getting warm and hot in club come with me down the road,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Easy Tiger_110_114.wav,ANiMAL - Easy Tiger,110,114,we gave out the tickets but the people won't go no,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Easy Tiger_114_119.wav,ANiMAL - Easy Tiger,114,119,go girl here is my backstage pass bring it back there let me tap that ass and address your class i'm ma move,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Easy Tiger_119_129.wav,ANiMAL - Easy Tiger,119,129,too fast i'm ma dress some room champagne and two glass so come on girl don't hold it down when we up in nigga town be screaming now you are with the after party like you dreamed about its time you and me act friendish now,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Easy Tiger_129_134.wav,ANiMAL - Easy Tiger,129,134,and we can sit and drink obscene amounts i've got a tab at the bar let's clean them out and when we drunk enough,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Easy Tiger_134_145.wav,ANiMAL - Easy Tiger,134,145,then we bounce off to the hotel out for the counting when the morning come across the dust back on the road is the boring stuff but it can liven up if you roll with us you can sit upon my ride upon the tour bus she,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Easy Tiger_170_175.wav,ANiMAL - Easy Tiger,170,175,i have dreams of her being obscene with me come,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Easy Tiger_175_182.wav,ANiMAL - Easy Tiger,175,182,she was the backstage queen she was the backstage queen she didn't know what she means to me she,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Rockshow_11_16.wav,ANiMAL - Rockshow,11,16,heading for the rock stop at the front gate cause i'm banned from the rockshow,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Rockshow_16_21.wav,ANiMAL - Rockshow,16,21,ain't got time for the chrises at the renegade cause i am banned from the rockshow,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Rockshow_21_26.wav,ANiMAL - Rockshow,21,26,but who can be told guitars are instinct so when you're banned from the rockshow,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Rockshow_26_32.wav,ANiMAL - Rockshow,26,32,so take your twelve strings to the antic shop somebody please please stop the rock,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Rockshow_43_48.wav,ANiMAL - Rockshow,43,48,heading for the rock stop at the front gate because  i'm banned from the rockshow,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Rockshow_48_53.wav,ANiMAL - Rockshow,48,53,ain't got time for this grizzlies at this renegade cause i'm banned from the rockshow,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Rockshow_53_58.wav,ANiMAL - Rockshow,53,58,so take your power calls and get yourself home because  i am banned from the rockshow,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Rockshow_58_64.wav,ANiMAL - Rockshow,58,64,so take your twelve strings to the antic shop let somebody please please stop the rock,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Rockshow_74_84.wav,ANiMAL - Rockshow,74,84,stop the rock  stop the rock  stop the rock stop the rock,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Rockshow_124_128.wav,ANiMAL - Rockshow,124,128,based on fine i am looking tired cause i'm banned from the rock show,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Rockshow_128_133.wav,ANiMAL - Rockshow,128,133,i couldn't get my groove to the radio cause i'm banned from the rock show,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Rockshow_133_138.wav,ANiMAL - Rockshow,133,138,a fader's flash row maxed to y cause i'm banned from the rockshow,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Rockshow_138_145.wav,ANiMAL - Rockshow,138,145,i spent too much time flying round the clock somebody please please stop the rock,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/ANiMAL - Rockshow_145_151.wav,ANiMAL - Rockshow,145,151,wow ho,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - Devil's Words_21_32.wav,Actions - Devil's Words,21,32,take a look around see the houses we built they are falling down around us,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - Devil's Words_32_38.wav,Actions - Devil's Words,32,38,the brace will slowly crack if we both soon show itself,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - Devil's Words_37_43.wav,Actions - Devil's Words,37,43,i wanna stuff i'm caving in stuff i'm falling down,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - Devil's Words_43_47.wav,Actions - Devil's Words,43,47,we're falling down,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - Devil's Words_46_53.wav,Actions - Devil's Words,46,53,you are the one you make me feel like this,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - Devil's Words_52_58.wav,Actions - Devil's Words,52,58,you are the one screaming you hypocrite,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - Devil's Words_57_63.wav,Actions - Devil's Words,57,63,uh a missing puzzle piece come and fill me in,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - Devil's Words_62_68.wav,Actions - Devil's Words,62,68,uh the devil's words has spoken to me,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - Devil's Words_67_72.wav,Actions - Devil's Words,67,72,the devil's words has spoken to me,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - Devil's Words_72_78.wav,Actions - Devil's Words,72,78,take your time i won't be long where the words are said to you,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - Devil's Words_77_82.wav,Actions - Devil's Words,77,82,i knew i was lying no but it would hurt to tell the truth,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - Devil's Words_82_87.wav,Actions - Devil's Words,82,87,this broken fairytale pages ripped in two,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - Devil's Words_87_93.wav,Actions - Devil's Words,87,93,i wanna stop from caving stuff from falling down,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - Devil's Words_92_97.wav,Actions - Devil's Words,92,97,we're falling down,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - Devil's Words_97_103.wav,Actions - Devil's Words,97,103,we're falling down,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - Devil's Words_103_109.wav,Actions - Devil's Words,103,109,you are the one you make me feel like this,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - Devil's Words_108_113.wav,Actions - Devil's Words,108,113,you are the one screaming you hypocrite,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - Devil's Words_112_118.wav,Actions - Devil's Words,112,118,uh missing puzzle piece come and fill me in,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - Devil's Words_118_123.wav,Actions - Devil's Words,118,123,uh the devil's words has spoken to me,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - Devil's Words_123_133.wav,Actions - Devil's Words,123,133,yeah yeah you are the one oh,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - Devil's Words_132_143.wav,Actions - Devil's Words,132,143,yeah you are the one yeah oh hey,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - Devil's Words_142_149.wav,Actions - Devil's Words,142,149,you are the one you make me feel like this,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - Devil's Words_148_154.wav,Actions - Devil's Words,148,154,you are the one screaming you hypocrite,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - Devil's Words_153_159.wav,Actions - Devil's Words,153,159,uh a missing puzzle piece come and fill me in,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - Devil's Words_158_164.wav,Actions - Devil's Words,158,164,uh the devil's words has spoken to me,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - Devil's Words_163_169.wav,Actions - Devil's Words,163,169,you are the one you make me feel like this,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - Devil's Words_168_174.wav,Actions - Devil's Words,168,174,you are the one screaming you hypocrite,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - Devil's Words_173_179.wav,Actions - Devil's Words,173,179,uh a missing puzzle piece come and fill me in,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - Devil's Words_179_184.wav,Actions - Devil's Words,179,184,uh the devil's words has spoken to me,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - Devil's Words_184_189.wav,Actions - Devil's Words,184,189,the devil's words has spoken to me,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - Devil's Words_189_196.wav,Actions - Devil's Words,189,196,the devil's words has spoken to me,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - One Minute Smile_0_7.wav,Actions - One Minute Smile,0,7,you hold my hand as you look around you kiss me quick i don't make sound you,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - One Minute Smile_6_12.wav,Actions - One Minute Smile,6,12,you look at me so you see right through me through me,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - One Minute Smile_11_17.wav,Actions - One Minute Smile,11,17,we walk in silence what's happen now one minute smile now it's only fraud,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - One Minute Smile_17_22.wav,Actions - One Minute Smile,17,22,i'm so confused once we were so strong so strong,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - One Minute Smile_22_28.wav,Actions - One Minute Smile,22,28,if this is not love it feels a lot like love you,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - One Minute Smile_27_33.wav,Actions - One Minute Smile,27,33,you double standards they always got me down,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - One Minute Smile_33_43.wav,Actions - One Minute Smile,33,43,i don't know where where we went wrong i just don't know i just don't know,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - One Minute Smile_43_49.wav,Actions - One Minute Smile,43,49,if it's not love it feels a lot like love,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - One Minute Smile_49_57.wav,Actions - One Minute Smile,49,57,a lot like love a lot like love,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - One Minute Smile_57_64.wav,Actions - One Minute Smile,57,64,we had turns like no other you can make me smile when i weep,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - One Minute Smile_64_69.wav,Actions - One Minute Smile,64,69,but my tears can drown out the laughter now oh now,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - One Minute Smile_69_75.wav,Actions - One Minute Smile,69,75,we talk until the sun rises you listen to all the same lies we speak,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - One Minute Smile_74_80.wav,Actions - One Minute Smile,74,80,we speak like there's no one else around around,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - One Minute Smile_80_85.wav,Actions - One Minute Smile,80,85,if this is not love it feels a lot like love,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - One Minute Smile_85_90.wav,Actions - One Minute Smile,85,90,you double standards they always got me down,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - One Minute Smile_90_96.wav,Actions - One Minute Smile,90,96,i don't know where where we went wrong i,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - One Minute Smile_96_102.wav,Actions - One Minute Smile,96,102,i just don't know i just don't know if it's,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - One Minute Smile_101_106.wav,Actions - One Minute Smile,101,106,if it's not love it feels a lot like love,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - One Minute Smile_106_114.wav,Actions - One Minute Smile,106,114,a lot like love a lot like love,TRUE,none
/content/drive/MyDrive/GitHub/musdb18-asr-dl/data/processed/train_chunks/vocals/Actions - One Minute Smile_114_119.wav,Actions - One Minute Smile,114,119,a lot like love i don't know where,TRUE,none
